T10B1,T100B1,T1000B1
2.750703947,2.473974555,2.722716683
2.040580152,1.666470254,0.465888075
2.039747168,1.665380747,0.463264334
2.037909683,1.66161134,0.469520294
2.041591812,1.66142203,0.464346297
2.038454803,1.696085562,0.435483865
2.043800267,1.666845202,0.467011574
2.044505923,1.640291778,0.464842446
2.043589411,1.674506179,0.447697811
2.036350236,1.674277125,0.448631668
2.040469624,1.661155154,0.456643537
2.039667282,1.685837744,0.448323721
2.046790166,1.663456064,0.470858181
2.048897806,1.689920876,0.440578671
2.045648263,1.663336702,0.436711241
2.043351254,1.667243918,0.435551943
2.049066777,1.672672234,0.45186235
2.037920493,1.653511176,0.459500559
2.03859352,1.670668841,0.439758179
2.031135998,1.654021626,0.438304107
2.032565808,1.650591168,0.449391252
2.034805414,1.665465623,0.430503052
2.042069367,1.673638009,0.435280287
2.039506135,1.702692293,0.451569808
2.032294951,1.652222025,0.430163336
2.038706425,1.649260645,0.459747521
2.023735658,1.657503084,0.434769439
2.042838855,1.65758553,0.447664545
2.041110318,1.661500925,0.422736376
2.048674772,1.65004965,0.435502273
2.04019197,1.676005488,0.452562935
2.039744973,1.648835479,0.441132317
2.034721989,1.684350971,0.43067961
2.046135564,1.676676481,0.428543674
2.039580769,1.65899856,0.439593567
2.029663719,1.671363422,0.449312041
2.045551282,1.662471584,0.444346446
2.039658043,1.663660537,0.416878264
2.041088412,1.643717514,0.43100931
2.037860854,1.636669066,0.442768102
2.034720876,1.678191412,0.427803472
2.039305484,1.663862855,0.42494267
2.035118657,1.657164434,0.428412576
2.048059377,1.663846866,0.430813816
2.044646343,1.679455154,0.416872331
2.038903172,1.64409371,0.450247593
2.03820063,1.650980631,0.439591598
2.036518897,1.653056931,0.425026686
2.033374595,1.673648127,0.439525674
2.046003855,1.665389615,0.436063606
2.042238589,1.66549815,0.423180719
2.040820287,1.675408391,0.422922779
2.034723343,1.658429081,0.421964978
2.037798388,1.662363005,0.415989098
2.027597286,1.666248052,0.428035502
2.028327376,1.653315636,0.423550247
2.032088164,1.658643841,0.417433747
2.026206209,1.646679417,0.410881308
2.047030578,1.660536453,0.415174615
2.029271529,1.665637309,0.417946522
2.03062745,1.679390299,0.424536947
2.048018512,1.657890398,0.421797855
2.030286187,1.629334253,0.421136468
2.035617984,1.66008459,0.410658936
2.036234776,1.666343557,0.399595429
2.032681359,1.64766865,0.420483462
2.039325142,1.65151217,0.410072691
2.042000336,1.662152624,0.412957463
2.041440518,1.674765287,0.404983404
2.036552367,1.660775559,0.43177183
2.035656271,1.642338874,0.404164611
2.035365455,1.674334739,0.434014809
2.029757511,1.637905803,0.411701207
2.043762627,1.675976914,0.402936987
2.03623205,1.623832791,0.408648807
2.044757272,1.644518474,0.414714873
2.042361587,1.663092518,0.421856279
2.043350479,1.654428843,0.422996493
2.030676626,1.648510073,0.425715812
2.036208391,1.660984004,0.406262916
2.041774601,1.644113897,0.41920616
2.047745078,1.631975504,0.404839505
2.031857657,1.644440931,0.406678661
2.035435732,1.674349367,0.400923114
2.045597197,1.63623701,0.423780321
2.038518951,1.648323066,0.413598213
2.031027637,1.667738669,0.405688559
2.034387657,1.660048787,0.410624104
2.041280157,1.667290704,0.401900489
2.047009686,1.683193164,0.4014966
2.043461974,1.658928842,0.407971996
2.03389682,1.640313342,0.423156047
2.035461281,1.643763045,0.41351976
2.041389473,1.653297443,0.435540066
2.037408486,1.657365642,0.416772807
2.037576462,1.622594303,0.393966589
2.037004997,1.6609084,0.412240903
2.039517977,1.643844127,0.409796102
2.038272861,1.636049386,0.408260608
2.03087376,1.653372374,0.391166894
2.031756821,1.655226241,0.403687139
2.035281858,1.660637643,0.405225887
2.037833013,1.650683731,0.399341568
2.039973382,1.66533443,0.426457597
2.052698544,1.615372605,0.417449878
2.04033469,1.645675012,0.389381078
2.035202144,1.679478856,0.416798153
2.046761048,1.655608694,0.40406808
2.036851938,1.650747121,0.408675988
2.044436478,1.66622269,0.391937095
2.018990616,1.66036517,0.378924178
2.036926859,1.638128917,0.389316656
2.041166794,1.661062528,0.392786682
2.037843651,1.61488387,0.399015714
2.053355818,1.653256668,0.396496262
2.02866482,1.657739237,0.401051988
2.042875716,1.654819165,0.409410987
2.032758205,1.621412781,0.414513135
2.044116308,1.642423167,0.383534757
2.036875207,1.641288674,0.384437659
2.030986898,1.646053081,0.404081105
2.032371822,1.628664719,0.397834943
2.044107455,1.65038719,0.369074915
2.04050065,1.625946263,0.396412173
2.033226731,1.646074559,0.390936425
2.037397505,1.631360046,0.396525098
2.038436721,1.615719975,0.387415972
2.044826468,1.685862399,0.379567628
2.040477388,1.648059261,0.388293972
2.030865645,1.642811818,0.38434262
2.033091878,1.658071931,0.390031541
2.041676646,1.659060236,0.389105488
2.036832965,1.657111087,0.373563887
2.030543502,1.630169196,0.383278925
2.03004978,1.655219336,0.388718642
2.046324657,1.642541164,0.402817778
2.035169662,1.631156053,0.411294966
2.024449613,1.627789185,0.396643146
2.044657949,1.617497659,0.380635841
2.035863344,1.640911048,0.395013711
2.043831773,1.652626945,0.387160073
2.051320172,1.665900132,0.406194365
2.04709437,1.643099285,0.388330059
2.038262426,1.643680304,0.373498912
2.037484621,1.631389198,0.389063366
2.044886342,1.618444203,0.388527168
2.037667459,1.617689853,0.37976533
2.038503655,1.644597609,0.386215782
2.036473499,1.671538165,0.388096476
2.044943024,1.620950739,0.409111321
2.043347245,1.650347175,0.395393635
2.043262023,1.644173565,0.368685084
2.039169649,1.655734401,0.391978298
2.043979308,1.662727293,0.366313842
2.041780755,1.645082327,0.358378203
2.024289598,1.612399031,0.383871574
2.03969187,1.633393884,0.383298236
2.040679769,1.635379811,0.385235868
2.038579153,1.629198262,0.383200129
2.038740028,1.645665043,0.382782075
2.034182635,1.648838393,0.379389411
2.039263248,1.642955173,0.392213434
2.024451069,1.645691142,0.38239359
2.041255005,1.640963187,0.377045715
2.038160954,1.624688013,0.400296804
2.040027321,1.662957009,0.386458618
2.030263165,1.635173945,0.395338559
2.03386204,1.63014299,0.36366443
2.033157285,1.622320684,0.364335171
2.031832079,1.629770004,0.379469875
2.025665495,1.613858719,0.384820301
2.038911434,1.640670149,0.360167585
2.041383933,1.673775905,0.378587998
2.047587591,1.642768701,0.387800179
2.044842983,1.653390286,0.379099952
2.04221316,1.653640582,0.361695122
2.041285411,1.623986364,0.37611071
2.036650184,1.616953634,0.366058481
2.047883083,1.620255307,0.382650336
2.033106138,1.646485293,0.37183008
2.025551156,1.620406502,0.362414834
2.036602271,1.609214417,0.394280061
2.034331795,1.651850808,0.377522306
2.051748592,1.642003662,0.363854612
2.03357434,1.628341503,0.370834349
2.032387794,1.645415128,0.372069301
2.029655755,1.638807112,0.35643703
2.035344664,1.650622061,0.370499089
2.028745509,1.633347432,0.377960868
2.030265496,1.640085238,0.362742669
2.029575871,1.650183654,0.369485025
2.042777052,1.657984041,0.385101736
2.035525599,1.646044574,0.381660725
2.040131689,1.633059934,0.371908266
2.035222363,1.610041827,0.372948797
2.045198603,1.620908205,0.379830446
2.037023904,1.611066716,0.36779959
2.043606019,1.640685099,0.376075797
2.030359139,1.62858308,0.36461178
2.040614446,1.665300949,0.380551099
2.043241542,1.656174106,0.369851326
2.042238803,1.643531593,0.367155675
2.042190115,1.660633584,0.373700262
2.033097912,1.66872846,0.370816859
2.038646505,1.640564904,0.369179677
2.032878049,1.64016324,0.35070905
2.040477898,1.6187496,0.364600142
2.043110673,1.652829557,0.375948961
2.028723267,1.652850951,0.356106319
2.041200925,1.634052254,0.382498255
2.030473841,1.631953223,0.362975643
2.038530306,1.653764956,0.366784273
2.028308804,1.630969952,0.356570496
2.026192722,1.621431633,0.350532399
2.033882613,1.612281259,0.355829451
2.031543464,1.650936942,0.372004847
2.035592104,1.658131285,0.372860977
2.026151034,1.641654941,0.353419875
2.041314632,1.612943612,0.358402859
2.035267335,1.661057522,0.333359868
2.027770839,1.637023076,0.354877865
2.03959611,1.649845485,0.356690123
2.03344276,1.659678994,0.362142067
2.045166966,1.651028661,0.369870595
2.035322561,1.647593891,0.356318105
2.015051362,1.633013481,0.351045104
2.042645327,1.636455678,0.333487348
2.043661352,1.606444303,0.369801955
2.032578938,1.63933246,0.360623235
2.039605149,1.618427721,0.390024201
2.036524342,1.632706209,0.357727888
2.028922805,1.647420426,0.343091504
2.048349424,1.63026612,0.356330155
2.042755903,1.641891889,0.367905004
2.040733915,1.632062813,0.346068345
2.0380494,1.594853999,0.350449749
2.03451711,1.632510759,0.358385371
2.034094783,1.612279908,0.365206979
2.040350838,1.631822873,0.369104613
2.033653233,1.63641823,0.353853184
2.030557339,1.65504627,0.334126407
2.045911863,1.616014709,0.360615469
2.044304918,1.6149207,0.3812725
2.042469466,1.642795064,0.3507744
2.041458634,1.623491053,0.344545412
2.045629234,1.623910065,0.37076909
2.047061316,1.613145509,0.349311743
2.040910491,1.618107728,0.358498733
2.040394725,1.602798976,0.372496569
2.029813506,1.641900879,0.358705686
2.038961166,1.642779931,0.356260943
2.038770116,1.638687582,0.336958832
2.046037641,1.602498621,0.34733104
2.035362143,1.628430183,0.34914267
2.032488124,1.628504092,0.347672957
2.036821196,1.624554622,0.353894587
2.038803384,1.618651808,0.354565456
2.028169389,1.638977165,0.348348517
2.022705616,1.624259685,0.344523981
2.037386934,1.636919806,0.355516573
2.038263632,1.640884272,0.360952237
2.048274524,1.612344852,0.366221522
2.025116559,1.625461411,0.351081545
2.055132492,1.640948515,0.343042324
2.035758834,1.638267443,0.378855838
2.037934212,1.649717567,0.360168739
2.034981365,1.633030196,0.340123358
2.043265784,1.618141775,0.34469729
2.039139297,1.625243563,0.361883707
2.031907291,1.621651244,0.356933384
2.036209791,1.653457911,0.354711732
2.034595022,1.635167307,0.330905082
2.042499976,1.644641168,0.353520004
2.034374626,1.636417451,0.3558975
2.038465686,1.599946646,0.354468459
2.025142111,1.632733586,0.35574176
2.03901682,1.614392891,0.341161035
2.033229448,1.61374107,0.362819385
2.038538165,1.61916378,0.336274582
2.037548553,1.616360955,0.328535491
2.036492617,1.606215293,0.343990674
2.039550517,1.648734971,0.35261845
2.048405185,1.640402298,0.346246468
2.037620022,1.631876258,0.348125646
2.033490384,1.625517886,0.354478269
2.038680085,1.592194856,0.336302163
2.041745982,1.590497651,0.359770707
2.041018873,1.636177269,0.360639995
2.041484688,1.635275896,0.343796434
2.03119488,1.634259892,0.356117519
2.043807757,1.640465727,0.342404278
2.047532505,1.628981772,0.363482043
2.031895004,1.63432812,0.34414077
2.050987654,1.622406827,0.348022489
2.044074976,1.634300817,0.360132996
2.039121273,1.6087162,0.3427908
2.027169105,1.604433262,0.360193524
2.038277028,1.612796529,0.343767921
2.036145524,1.642617163,0.335804918
2.038784969,1.615082405,0.324888708
2.041814636,1.624172469,0.355081825
2.041467022,1.602192129,0.34455837
2.026364293,1.598726122,0.344499123
2.031532535,1.606355153,0.350551568
2.032262608,1.622301285,0.352773435
2.046638494,1.619682293,0.326991972
2.032945396,1.630693076,0.340615589
2.033010463,1.608811927,0.345136167
2.037860463,1.615482441,0.362619319
2.03370272,1.598388532,0.349676766
2.034812967,1.648408414,0.345379609
2.028199769,1.635929342,0.334230036
2.03515286,1.613888082,0.323398944
2.033918896,1.612357729,0.345562782
2.03280827,1.629858624,0.330397867
2.037174025,1.612527762,0.346474309
2.031621871,1.64151596,0.330558231
2.037188885,1.636718157,0.344279932
2.037934821,1.627379603,0.339408755
2.035104236,1.630100465,0.335025033
2.043258484,1.614205865,0.333441902
2.039448651,1.6113074,0.34456933
2.047574804,1.62811223,0.322580277
2.025565302,1.629041238,0.321397532
2.033341659,1.65396922,0.354522727
2.039761092,1.616472739,0.336106751
2.028299729,1.624433088,0.323609468
2.049150532,1.612622373,0.312483105
2.031401336,1.636400135,0.326545266
2.039923165,1.64676918,0.339600815
2.023080187,1.61279799,0.34109326
2.038468945,1.614565657,0.341074172
2.033216373,1.621097196,0.349206742
2.030943563,1.628710777,0.355523432
2.028197575,1.627109354,0.339794017
2.019575859,1.631212769,0.354305072
2.031810646,1.642549635,0.330911273
2.039608844,1.640660396,0.32105887
2.039201238,1.596510209,0.345400416
2.032793068,1.641243617,0.34782281
2.038323089,1.612081059,0.335176519
2.036653401,1.624004967,0.339193737
2.043686817,1.604969857,0.328414803
2.046475456,1.603012777,0.325697694
2.03619554,1.630970367,0.351873918
2.037234311,1.63588689,0.34103881
2.038417315,1.598985446,0.341181107
2.04293474,1.608246215,0.311573683
2.04478891,1.583182727,0.323461587
2.041695286,1.629824079,0.332805381
2.028750206,1.626041074,0.357642636
2.033833648,1.616500706,0.337274105
2.028785606,1.607121114,0.323355523
2.041919413,1.623592093,0.332065826
2.040244806,1.617208873,0.319163971
2.047460188,1.611311489,0.331204649
2.025962973,1.586915471,0.333179456
2.038669979,1.596815617,0.325602698
2.037441924,1.619188958,0.316890492
2.043384855,1.603564488,0.341424008
2.031003828,1.631864202,0.344481931
2.031553734,1.614937799,0.30861864
2.02421791,1.600340259,0.320595454
2.047439156,1.59510211,0.320191193
2.039833066,1.629596415,0.322722996
2.047677042,1.609715984,0.342363459
2.038205858,1.627240975,0.333507125
2.021333145,1.597406153,0.319910909
2.036049005,1.630523187,0.326312915
2.033116364,1.613016944,0.342640516
2.032893013,1.60352859,0.324513309
2.029743195,1.621629583,0.318031551
2.049110529,1.632544634,0.328663854
2.043288874,1.613205855,0.334133845
2.029816544,1.612459357,0.334471569
2.050150629,1.617994734,0.332370118
2.037413443,1.614147014,0.330047164
2.03951615,1.627052608,0.333721407
2.016100371,1.608854157,0.351854568
2.031903186,1.622578978,0.329680436
2.034861728,1.64581583,0.329929439
2.034707598,1.637945764,0.326301704
2.048512438,1.627427055,0.336822803
2.039887247,1.609054558,0.328789798
2.024749997,1.627111906,0.338287416
2.040195596,1.619405704,0.340685796
2.020429744,1.597229718,0.317164089
2.054608328,1.587879686,0.344635952
2.031245515,1.603730375,0.337868963
2.033342973,1.634014108,0.332264601
2.038392124,1.617578351,0.325217272
2.030255728,1.655584354,0.328700364
2.038912632,1.621594091,0.311612392
2.026102392,1.590277698,0.322116595
2.03338985,1.592738414,0.329882095
2.038108742,1.602876276,0.319009617
2.034857339,1.621872088,0.327780217
2.036344788,1.606119118,0.335437087
2.032911092,1.632775862,0.312695853
2.030349606,1.625718061,0.323129279
2.037833667,1.627832584,0.339382809
2.023831082,1.621223408,0.322964819
2.03680918,1.603338201,0.324905399
2.045557814,1.603599704,0.307641533
2.030584064,1.592936425,0.321314082
2.043225191,1.616859751,0.335449595
2.037945552,1.616513476,0.351820301
2.036969208,1.590049065,0.331559606
2.034386195,1.625567292,0.314492691
2.034735066,1.614689997,0.315110916
2.033728406,1.618987047,0.334019178
2.031415692,1.612719805,0.322570322
2.041094993,1.58424595,0.321432587
2.02597292,1.594717305,0.336235136
2.024534759,1.62692683,0.31632232
2.038444436,1.618935491,0.340447376
2.044732672,1.625402813,0.315450859
2.029623092,1.623845041,0.306718534
2.036105027,1.601244642,0.304478758
2.038195238,1.611556626,0.335498524
2.02601284,1.604939953,0.323944978
2.030235034,1.616854408,0.325227539
2.045436846,1.617665516,0.337690204
2.021607765,1.619898147,0.341891462
2.031684082,1.61000324,0.3156279
2.037641618,1.648980551,0.307917277
2.031643928,1.595032986,0.317100344
2.027993617,1.620389169,0.316742283
2.030501255,1.60940404,0.334914947
2.022035577,1.615987909,0.336314786
2.035742208,1.589964099,0.335063602
2.039357839,1.608640437,0.314375463
2.033973494,1.587680638,0.33599233
2.028566482,1.596659339,0.332091306
2.021648461,1.588374621,0.311389356
2.042535012,1.603146274,0.328212818
2.039982922,1.617947394,0.323481999
2.030588711,1.608621623,0.323428906
2.042333317,1.577280286,0.326675569
2.028786094,1.596163812,0.315259391
2.031162896,1.59379849,0.337597522
2.038175463,1.618975216,0.332726182
2.032895256,1.601045382,0.326503508
2.03630358,1.615088436,0.330609624
2.043698238,1.592647069,0.323300094
2.039370048,1.620199278,0.335197593
2.037906051,1.591639682,0.32565165
2.032515167,1.608338745,0.316598298
2.035840322,1.606017989,0.341328162
2.041776994,1.598262362,0.32245501
2.035806674,1.618335082,0.3269674
2.032799191,1.623358333,0.30850486
2.034312406,1.596626917,0.288204449
2.019927929,1.625904748,0.309681036
2.025867125,1.583326734,0.328081836
2.0379441,1.596979981,0.3210769
2.030248049,1.617306648,0.315593339
2.03185984,1.567182265,0.322210984
2.038082546,1.610267717,0.33889781
2.032989718,1.593777889,0.315400932
2.04468478,1.607723929,0.308851283
2.02676248,1.603398446,0.316374419
2.041168467,1.619681767,0.316551297
2.042752779,1.604091712,0.328079318
2.027050034,1.604480648,0.327310205
2.033686159,1.609781494,0.308649005
2.042439533,1.605048623,0.297879232
2.026124819,1.581865378,0.312710894
2.029131218,1.582840444,0.309300445
2.033402782,1.603206671,0.319015813
2.027116456,1.627055503,0.31463525
2.023133458,1.606959758,0.311364859
2.031820777,1.624291709,0.319417344
2.041266839,1.603127216,0.334589632
2.03286774,1.607174164,0.300655111
2.02954267,1.614589736,0.315959876
2.023378015,1.613217493,0.317374122
2.028279104,1.612618747,0.350946039
2.037361176,1.619642404,0.308547763
2.030299893,1.590913186,0.316197187
2.039228632,1.594281709,0.323956819
2.041553964,1.593730825,0.315401747
2.034813971,1.589585256,0.317264438
2.036597712,1.606786129,0.310849728
2.025257261,1.57257327,0.317182859
2.031214582,1.600666053,0.321066348
2.026615746,1.614489765,0.331923921
2.021059614,1.621833286,0.30465795
2.027105369,1.598514803,0.322519099
2.046924341,1.603929078,0.311626433
2.028145538,1.601957984,0.290898541
2.020648387,1.601297529,0.300779637
2.032538198,1.596581721,0.309610871
2.043246517,1.5954272,0.307919558
2.037315228,1.611188783,0.304939925
2.049681967,1.614734035,0.299560027
2.037723385,1.608159566,0.280054083
2.041610571,1.590185376,0.308039787
2.031804968,1.600037238,0.316044723
2.028632212,1.610588936,0.320583984
2.038780478,1.614638572,0.314458349